epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.8527,1.65748,5.2645,1.05059,0.00204,0.47619,0.1493,0.06993,1.33912,5.39842,0.94611,0.00015719,0.00015719,0.00015719
2,82.0206,1.72113,4.33505,1.10999,0.00243,0.69841,0.09729,0.04944,1.3166,5.33988,0.93199,0.000322162,0.000322162,0.000322162
3,106.829,1.62809,3.7415,1.04911,0.00074,0.19048,0.00184,0.00124,1.12136,4.99485,0.98804,0.000480344,0.000480344,0.000480344
4,128.643,1.70008,3.40736,1.09712,0.00056,0.14286,0.0005,0.00021,1.19444,5.11495,1.03344,0.000631735,0.000631735,0.000631735
5,154.191,1.63655,3.05804,1.0767,0.00094,0.2381,0.0005,0.00035,1.25124,27.0568,1.08795,0.000776336,0.000776336,0.000776336
6,178.291,1.54186,2.81062,1.06527,0.02961,0.19048,0.0595,0.03127,1.23797,5.24301,1.0066,0.000914146,0.000914146,0.000914146
7,198.565,1.50489,2.55124,1.06529,0.00136,0.46032,0.07503,0.04297,1.30181,4.65174,1.05487,0.00104516,0.00104516,0.00104516
8,219.256,1.582,2.63667,1.06834,0.00166,0.49206,0.18409,0.07396,1.40107,4.50573,1.09629,0.00116939,0.00116939,0.00116939
9,243.374,1.58969,2.47439,1.12308,0.86741,0.07683,0.20832,0.10419,1.40699,4.38562,1.10675,0.00120265,0.00120265,0.00120265
10,264.886,1.49435,2.39701,1.11519,0.68797,0.21146,0.29385,0.18839,1.38761,4.44477,1.11356,0.00117435,0.00117435,0.00117435
11,290.75,1.4923,2.28128,1.10266,0.62694,0.33725,0.37657,0.18584,1.32467,3.8322,1.08247,0.00114606,0.00114606,0.00114606
12,318.057,1.53552,2.21259,1.11237,0.46469,0.30159,0.41323,0.22769,1.3199,3.63522,1.05676,0.00111776,0.00111776,0.00111776
13,341.731,1.59589,2.04566,1.0919,0.42138,0.20635,0.24515,0.14849,1.32162,3.81956,1.12819,0.00108947,0.00108947,0.00108947
14,365.676,1.53916,2.05857,1.13406,0.3698,0.49206,0.41268,0.25508,1.29005,3.03277,1.13696,0.00106118,0.00106118,0.00106118
